Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
31/12/2021;24:00;0,76;0,41;45;114;45;Bueno / Ona;13,85;Muy bueno / Oso ona;11,35;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;23:00;0,61;0,36;35;103;50;Bueno / Ona;13,15;Muy bueno / Oso ona;11,05;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;22:00;0,65;0,32;42;116;52;Bueno / Ona;12,79;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;21:00;0,75;0,26;99;222;70;Bueno / Ona;13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;5;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;20:00;0,51;;58;155;67;Bueno / Ona;13,11;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;19:00;0,35;;25;86;48;Bueno / Ona;13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;18:00;0,22;;4;35;29;Muy bueno / Oso ona;13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2021;17:00;0,13;;1;19;17;Muy bueno / Oso ona;13;Muy bueno / Oso ona;11,11;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;16:00;0,02;;2;18;15;Muy bueno / Oso ona;13,11;Muy bueno / Oso ona;11;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;15:00;;;4;21;15;Muy bueno / Oso ona;12,89;Muy bueno / Oso ona;;Sin datos / Daturik gabe;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2021;14:00;;0,41;3;17;13;Muy bueno / Oso ona;12,79;Muy bueno / Oso ona;11,21;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;13:00;-0,07;0,4;11;43;27;Muy bueno / Oso ona;13,37;Muy bueno / Oso ona;11,95;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;12:00;0,08;0,39;40;102;41;Bueno / Ona;14,47;Muy bueno / Oso ona;13,05;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;11:00;0,36;0,43;53;120;39;Muy bueno / Oso ona;15,68;Muy bueno / Oso ona;14,05;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;10:00;0,56;0,39;63;138;41;Bueno / Ona;16,47;Muy bueno / Oso ona;14,74;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;09:00;0,57;0,41;58;125;36;Muy bueno / Oso ona;17,47;Muy bueno / Oso ona;15,11;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;08:00;0,58;0,39;44;104;36;Muy bueno / Oso ona;17,95;Muy bueno / Oso ona;14,95;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;07:00;0,34;0,37;17;52;26;Muy bueno / Oso ona;17,89;Muy bueno / Oso ona;14,84;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;06:00;;;;;;Sin datos / Daturik gabe;17,89;Muy bueno / Oso ona;15;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
31/12/2021;05:00;;;;;;Sin datos / Daturik gabe;17,6;Muy bueno / Oso ona;14,7;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
31/12/2021;04:00;;;;;;Sin datos / Daturik gabe;17,29;Muy bueno / Oso ona;14,52;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
31/12/2021;03:00;;0,72;;;;Sin datos / Daturik gabe;16,91;Muy bueno / Oso ona;14,27;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
31/12/2021;02:00;0,34;0,69;8;34;23;Muy bueno / Oso ona;16,43;Muy bueno / Oso ona;14;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2021;01:00;0,69;0,66;17;57;31;Muy bueno / Oso ona;16,09;Muy bueno / Oso ona;13,7;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;24:00;0,48;0,66;31;80;32;Muy bueno / Oso ona;16;Muy bueno / Oso ona;13,35;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;23:00;;0,59;;;;Sin datos / Daturik gabe;15,7;Muy bueno / Oso ona;12,96;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2021;22:00;0,81;0,55;119;237;55;Bueno / Ona;15,38;Muy bueno / Oso ona;12,88;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;21:00;0,87;0,5;140;281;67;Bueno / Ona;14,96;Muy bueno / Oso ona;12,78;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;20:00;0,88;0,44;134;277;72;Bueno / Ona;14,82;Muy bueno / Oso ona;12,77;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;19:00;0,69;0,39;77;181;63;Bueno / Ona;14,76;Muy bueno / Oso ona;12,95;Bueno / Ona;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;18:00;0,43;0,4;24;93;56;Bueno / Ona;15;Muy bueno / Oso ona;13,35;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;17:00;0,47;0,43;16;71;46;Bueno / Ona;15,42;Muy bueno / Oso ona;13,68;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;16:00;0,3;0,47;5;30;22;Muy bueno / Oso ona;15,94;Muy bueno / Oso ona;14,22;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;15:00;0,2;0,49;4;21;15;Muy bueno / Oso ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2021;14:00;0,38;0,51;41;114;52;Bueno / Ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;13:00;0,43;0,5;60;157;65;Bueno / Ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;5;Muy bueno / Oso ona;Bueno / Ona
30/12/2021;12:00;0,37;0,49;58;145;56;Bueno / Ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
